Date,Open,High,Low,Close,Adj Close,Volume
2023-08-29,26102.486328,28089.337891,25912.628906,27727.392578,27727.392578,29368391712
2023-08-30,27726.083984,27760.160156,27069.207031,27297.265625,27297.265625,16343655235
2023-08-31,27301.929688,27456.078125,25752.929688,25931.472656,25931.472656,20181001451
2023-09-01,25934.021484,26125.869141,25362.609375,25800.724609,25800.724609,17202862221
2023-09-02,25800.910156,25970.285156,25753.093750,25868.798828,25868.798828,10100387473
2023-09-03,25869.472656,26087.148438,25817.031250,25969.566406,25969.566406,8962524523
2023-09-04,25968.169922,26081.525391,25657.025391,25812.416016,25812.416016,10680635106
2023-09-05,25814.957031,25858.375000,25589.988281,25779.982422,25779.982422,11094740040
2023-09-06,25783.931641,25953.015625,25404.359375,25753.236328,25753.236328,12752705327
2023-09-07,25748.312500,26409.302734,25608.201172,26240.195313,26240.195313,11088307100
2023-09-08,26245.208984,26414.005859,25677.480469,25905.654297,25905.654297,10817356400
2023-09-09,25905.425781,25921.976563,25810.494141,25895.677734,25895.677734,5481314132
2023-09-10,25895.210938,25978.130859,25640.261719,25832.226563,25832.226563,7899553047
2023-09-11,25831.714844,25883.947266,24930.296875,25162.654297,25162.654297,14600006467
2023-09-12,25160.658203,26451.939453,25133.078125,25833.343750,25833.343750,18657279324
2023-09-13,25837.554688,26376.113281,25781.123047,26228.324219,26228.324219,13072077070
2023-09-14,26228.277344,26774.623047,26171.451172,26539.673828,26539.673828,13811359124
2023-09-15,26533.818359,26840.498047,26240.701172,26608.693359,26608.693359,11479735788
2023-09-16,26606.199219,26754.769531,26473.890625,26568.281250,26568.281250,7402031417
2023-09-17,26567.927734,26617.998047,26445.074219,26534.187500,26534.187500,6774210670
2023-09-18,26532.994141,27414.734375,26415.515625,26754.281250,26754.281250,15615339655
2023-09-19,26760.851563,27488.763672,26681.605469,27211.117188,27211.117188,13807690550
2023-09-20,27210.228516,27379.505859,26864.082031,27132.007813,27132.007813,13281116604
2023-09-21,27129.839844,27152.939453,26389.300781,26567.632813,26567.632813,13371443708
2023-09-22,26564.056641,26726.078125,26495.533203,26579.568359,26579.568359,10578746709
2023-09-23,26578.556641,26634.185547,26520.519531,26579.390625,26579.390625,7404700301
2023-09-24,26579.373047,26716.058594,26221.050781,26256.826172,26256.826172,8192867686
2023-09-25,26253.775391,26421.507813,26011.468750,26298.480469,26298.480469,11997833257
2023-09-26,26294.757813,26389.884766,26090.712891,26217.250000,26217.250000,9985498161
2023-09-27,26209.498047,26817.841797,26111.464844,26352.716797,26352.716797,11718380997
2023-09-28,26355.812500,27259.500000,26327.322266,27021.546875,27021.546875,14079002707
2023-09-29,27024.841797,27225.937500,26721.763672,26911.720703,26911.720703,10396435377
2023-09-30,26911.689453,27091.794922,26888.968750,26967.916016,26967.916016,5331172801
2023-10-01,26967.396484,28047.238281,26965.093750,27983.750000,27983.750000,9503917434
2023-10-02,27976.798828,28494.458984,27347.787109,27530.785156,27530.785156,19793041322
2023-10-03,27508.251953,27667.191406,27216.001953,27429.978516,27429.978516,11407814187
2023-10-04,27429.074219,27826.658203,27248.105469,27799.394531,27799.394531,11143355314
2023-10-05,27798.646484,28091.861328,27375.601563,27415.912109,27415.912109,11877253670
2023-10-06,27412.123047,28252.537109,27215.552734,27946.597656,27946.597656,13492391599
2023-10-07,27946.781250,28028.091797,27870.423828,27968.839844,27968.839844,6553044316
2023-10-08,27971.677734,28102.169922,27740.662109,27935.089844,27935.089844,7916875290
2023-10-09,27934.472656,27989.470703,27302.562500,27583.677734,27583.677734,12007668568
2023-10-10,27589.201172,27715.847656,27301.654297,27391.019531,27391.019531,9973350678
2023-10-11,27392.076172,27474.115234,26561.099609,26873.320313,26873.320313,13648094333
2023-10-12,26873.292969,26921.439453,26558.320313,26756.798828,26756.798828,9392909295
2023-10-13,26752.878906,27092.697266,26686.322266,26862.375000,26862.375000,15165312851
2023-10-14,26866.203125,26969.000000,26814.585938,26861.707031,26861.707031,5388116782
2023-10-15,26858.011719,27289.169922,26817.894531,27159.652344,27159.652344,7098201980
2023-10-16,27162.628906,29448.138672,27130.472656,28519.466797,28519.466797,27833876539
2023-10-17,28522.097656,28618.751953,28110.185547,28415.748047,28415.748047,14872527508
2023-10-18,28413.531250,28889.009766,28174.251953,28328.341797,28328.341797,12724128586
2023-10-19,28332.416016,28892.474609,28177.988281,28719.806641,28719.806641,14448058195
2023-10-20,28732.812500,30104.085938,28601.669922,29682.949219,29682.949219,21536125230
2023-10-21,29683.380859,30287.482422,29481.751953,29918.412109,29918.412109,11541146996
2023-10-22,29918.654297,30199.433594,29720.312500,29993.896484,29993.896484,10446520040
2023-10-23,30140.685547,34370.437500,30097.828125,33086.234375,33086.234375,38363572311
2023-10-24,33077.304688,35150.433594,32880.761719,33901.527344,33901.527344,44934999645
2023-10-25,33916.042969,35133.757813,33709.109375,34502.820313,34502.820313,25254318008
2023-10-26,34504.289063,34832.910156,33762.324219,34156.648438,34156.648438,19427195376
2023-10-27,34156.500000,34238.210938,33416.886719,33909.800781,33909.800781,16418032871
2023-10-28,33907.722656,34399.390625,33874.804688,34089.574219,34089.574219,10160330825
2023-10-29,34089.371094,34743.261719,33947.566406,34538.480469,34538.480469,11160323986
